amazement,solemnity,tenderness,nostalgia,calmness,power,joyful_activation,tension,sadness,mood,age,avg_bpm_listened,most_listened_genre_Classical,most_listened_genre_Electronic,most_listened_genre_Hip-hop,most_listened_genre_Jazz,most_listened_genre_Pop,most_listened_genre_Rock,listening_frequency_daily,listening_frequency_hourly,listening_frequency_monthly,listening_frequency_weekly
0,0,0,0,0,0,0,1,0,3,29,104,0,0,0,0,1,0,0,0,1,0
1,0,0,0,0,1,1,0,0,4,20,128,0,0,0,0,0,1,0,0,1,0
0,1,0,1,1,0,0,0,0,3,37,140,0,0,0,1,0,0,0,0,1,0
0,1,0,1,0,0,0,0,0,4,25,167,0,0,1,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,3,30,103,0,0,0,0,1,0,0,1,0,0
0,1,0,0,0,0,0,1,1,1,33,68,0,0,1,0,0,0,0,0,0,1
0,0,1,0,0,0,1,0,0,3,30,175,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,3,36,61,1,0,0,0,0,0,1,0,0,0
0,0,0,1,0,1,0,0,1,4,19,94,0,0,0,1,0,0,1,0,0,0
0,1,1,0,0,0,0,0,0,5,25,62,0,0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,1,0,0,4,21,63,0,0,0,0,1,0,0,0,1,0
0,1,0,0,0,0,0,0,0,4,34,176,1,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,4,46,196,0,0,0,0,1,0,1,0,0,0
1,1,0,0,1,0,0,0,0,5,30,68,0,0,1,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,1,4,25,115,0,0,1,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,3,58,151,0,1,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0,4,57,123,1,0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,1,0,0,4,20,153,0,0,0,0,0,1,1,0,0,0
1,0,1,0,0,0,1,0,0,4,30,78,0,0,0,1,0,0,0,0,1,0
0,1,0,0,0,0,0,1,0,3,48,78,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,1,0,1,0,4,38,113,0,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0,3,51,135,0,0,0,1,0,0,0,1,0,0
0,0,1,0,0,0,1,0,0,4,26,90,0,0,0,1,0,0,1,0,0,0
0,1,0,0,0,1,1,0,0,3,27,102,0,0,1,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,1,5,25,196,0,0,1,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,4,33,106,0,0,0,0,0,1,0,1,0,0
1,0,1,0,0,0,1,0,0,4,22,125,0,0,1,0,0,0,0,0,0,1
1,0,0,1,0,0,1,0,0,5,44,71,0,0,0,1,0,0,0,0,1,0
0,0,0,0,0,1,0,1,1,2,28,192,1,0,0,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,4,33,77,1,0,0,0,0,0,0,0,1,0
1,0,1,0,0,0,1,0,0,3,18,83,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,1,0,4,59,181,0,0,1,0,0,0,0,0,1,0
0,0,0,1,1,0,0,0,0,5,36,75,0,0,0,0,0,1,0,0,1,0
0,0,0,1,1,0,0,0,0,4,46,62,1,0,0,0,0,0,1,0,0,0
1,0,1,0,1,0,0,0,0,3,45,196,0,0,1,0,0,0,0,1,0,0
0,1,0,0,1,0,0,0,0,5,25,69,1,0,0,0,0,0,1,0,0,0
0,0,1,1,1,0,0,0,0,4,47,105,1,0,0,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,4,30,123,1,0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,3,33,82,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,1,0,3,28,111,0,0,1,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,0,3,35,144,0,0,1,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,4,51,112,0,0,1,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,1,3,36,140,0,1,0,0,0,0,0,1,0,0
0,0,1,0,1,0,0,0,0,3,29,164,1,0,0,0,0,0,1,0,0,0
0,0,1,1,1,0,0,0,0,4,21,70,0,1,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,1,3,36,122,0,1,0,0,0,0,1,0,0,0
0,0,1,0,1,0,0,0,0,4,20,100,0,0,0,0,1,0,0,0,0,1
0,0,1,1,0,0,0,0,1,1,33,144,0,1,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,3,30,66,0,0,0,0,0,1,0,0,1,0
0,0,0,0,1,1,0,0,1,4,19,71,1,0,0,0,0,0,0,0,0,1
1,0,1,0,1,0,0,0,0,3,27,130,0,1,0,0,0,0,0,0,1,0
0,0,1,1,1,0,0,0,0,2,29,146,0,0,0,1,0,0,0,0,0,1
0,0,1,1,1,0,0,0,0,5,45,136,0,0,0,0,0,1,0,0,0,1
0,0,1,0,1,0,0,0,0,5,25,103,0,1,0,0,0,0,0,0,1,0
0,0,1,1,1,0,0,0,0,4,30,171,0,0,0,1,0,0,0,1,0,0
0,1,1,0,1,0,0,0,0,5,30,178,0,0,1,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,0,4,46,88,0,0,0,0,0,1,1,0,0,0
0,0,1,1,1,0,0,0,0,4,26,69,0,0,1,0,0,0,1,0,0,0
0,1,0,1,1,0,0,0,0,4,42,76,1,0,0,0,0,0,0,1,0,0
0,0,1,1,1,0,0,0,0,4,22,80,0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,4,57,159,0,1,0,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,1,4,24,136,0,0,0,0,0,1,0,0,1,0
0,1,1,0,1,0,0,0,0,4,30,109,0,1,0,0,0,0,1,0,0,0
0,0,1,1,1,0,0,0,0,5,28,101,0,1,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,3,48,191,0,0,0,1,0,0,0,0,1,0
1,0,1,0,1,0,0,0,0,4,38,115,0,0,0,1,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,3,51,158,0,0,0,0,0,1,0,0,0,1
0,0,1,0,1,0,0,0,0,4,33,91,0,1,0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0,0,4,33,80,0,0,0,1,0,0,0,0,1,0
0,0,0,1,1,0,0,0,1,5,44,165,0,0,0,0,1,0,0,0,0,1
0,0,1,1,1,0,0,0,0,2,28,171,1,0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0,0,4,59,76,0,0,0,1,0,0,0,1,0,0
1,0,1,0,1,0,0,0,0,4,69,191,0,1,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,5,51,75,1,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,3,35,198,0,0,0,0,1,0,0,1,0,0
0,0,0,1,1,0,1,0,0,5,27,144,0,0,0,0,1,0,1,0,0,0
0,1,1,1,0,0,0,0,0,4,47,196,0,0,0,1,0,0,0,0,1,0
0,1,1,0,0,0,1,0,0,4,37,177,0,1,0,0,0,0,1,0,0,0
0,0,1,0,1,0,0,0,0,3,28,141,0,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,1,1,4,25,146,0,0,0,1,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,3,33,191,0,0,0,0,0,1,0,0,0,1
0,0,1,1,0,0,0,0,0,4,26,111,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,1,4,51,145,0,0,0,0,1,0,1,0,0,0
0,0,1,0,1,0,0,0,0,4,26,109,0,0,0,1,0,0,0,0,1,0
0,1,0,0,0,0,0,1,1,4,21,139,1,0,0,0,0,0,1,0,0,0
0,0,1,1,0,0,0,0,1,1,33,162,0,0,0,0,0,1,0,0,0,1
0,0,0,0,1,0,0,0,0,4,22,108,0,0,0,0,0,1,0,1,0,0
0,0,0,1,1,0,0,0,1,2,29,107,0,0,0,1,0,0,0,0,1,0
0,1,0,1,0,0,0,0,1,5,45,101,0,0,0,1,0,0,0,1,0,0
0,0,0,1,0,0,0,0,1,5,25,164,0,0,1,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,0,4,30,61,1,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,1,0,0,4,42,194,1,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,4,46,116,0,0,0,1,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,4,28,84,1,0,0,0,0,0,1,0,0,0
0,0,0,1,1,0,0,0,0,4,26,128,0,0,0,1,0,0,0,0,0,1
0,0,1,1,1,0,0,0,0,3,61,70,0,1,0,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,4,37,112,0,1,0,0,0,0,0,1,0,0
0,0,1,1,0,0,0,1,0,4,40,160,0,0,0,0,1,0,1,0,0,0
1,0,0,0,0,0,0,0,0,4,57,66,0,1,0,0,0,0,0,0,1,0
0,0,0,1,1,0,0,1,0,4,30,119,1,0,0,0,0,0,1,0,0,0
0,1,1,0,1,0,0,0,0,4,40,193,0,0,0,1,0,0,0,1,0,0
0,1,0,1,0,0,0,0,0,4,24,127,0,0,0,0,0,1,0,1,0,0
0,0,1,0,0,0,0,0,1,3,26,188,0,1,0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,1,2,25,102,0,0,0,0,0,1,0,1,0,0
0,1,0,1,0,0,0,0,0,3,48,195,1,0,0,0,0,0,0,0,0,1
0,0,0,1,1,0,0,1,0,4,38,106,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,1,3,51,65,0,0,0,0,1,0,0,1,0,0
0,0,1,1,1,0,0,0,0,5,28,113,0,0,1,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,5,46,190,0,0,0,0,0,1,0,0,1,0
1,0,0,0,0,0,0,0,0,4,33,192,0,1,0,0,0,0,0,0,0,1
0,1,0,0,0,1,0,1,0,5,44,91,1,0,0,0,0,0,0,1,0,0
0,1,1,1,0,0,0,0,0,3,37,84,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,1,5,45,194,0,0,0,0,0,1,0,1,0,0
0,0,0,1,0,0,0,0,1,2,28,147,0,1,0,0,0,0,0,1,0,0
0,0,1,0,0,1,0,0,0,5,25,180,1,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,5,51,177,0,0,0,0,1,0,1,0,0,0
0,0,0,1,0,0,0,0,1,5,36,196,0,0,0,0,1,0,1,0,0,0
0,0,0,1,0,0,0,0,1,4,46,182,0,1,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,3,35,100,0,0,0,0,1,0,0,1,0,0
1,1,0,0,1,0,0,0,0,2,23,121,1,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,1,0,0,3,28,114,0,0,0,0,1,0,0,1,0,0
0,0,1,0,0,1,1,0,0,5,27,172,1,0,0,0,0,0,1,0,0,0
0,0,1,1,1,0,0,0,0,4,47,158,1,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,4,37,110,0,0,1,0,0,0,0,0,1,0
0,0,1,1,1,0,0,0,0,4,65,135,0,0,0,1,0,0,0,0,1,0
0,0,0,1,1,0,1,0,0,2,28,87,0,0,0,1,0,0,1,0,0,0
0,0,0,1,0,0,0,0,0,4,25,200,0,0,0,0,1,0,0,0,1,0
0,0,0,1,0,0,0,0,0,3,33,83,0,0,1,0,0,0,1,0,0,0
0,1,0,0,1,0,0,0,0,4,51,125,0,0,1,0,0,0,0,0,1,0
0,1,1,1,0,0,0,0,0,3,26,168,0,1,0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,0,4,22,164,0,0,0,1,0,0,1,0,0,0
0,0,1,0,1,0,0,0,0,1,33,96,0,0,1,0,0,0,0,1,0,0
0,1,1,1,0,0,0,0,0,4,20,183,1,0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,1,5,25,183,0,0,1,0,0,0,1,0,0,0
0,1,0,0,1,0,1,0,0,3,24,168,0,1,0,0,0,0,0,0,0,1
0,0,0,1,0,1,0,0,0,3,30,111,1,0,0,0,0,0,0,0,0,1
0,0,0,1,1,0,0,0,0,2,29,181,1,0,0,0,0,0,0,1,0,0
1,0,0,0,1,0,1,0,0,5,45,148,0,0,0,0,1,0,0,0,1,0
0,0,0,0,1,0,0,0,0,5,28,138,0,0,0,0,0,1,1,0,0,0
0,0,0,0,1,0,0,0,0,4,30,176,0,0,0,0,0,1,1,0,0,0
1,0,1,0,0,0,1,0,0,3,37,135,0,0,1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0,4,26,118,0,0,0,0,0,1,0,0,1,0
0,0,1,0,1,0,1,0,0,4,40,141,0,1,0,0,0,0,0,0,0,1
0,0,0,1,1,0,0,0,1,4,30,169,1,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,2,23,135,0,0,0,0,0,1,0,0,0,1
0,0,1,0,1,0,0,0,0,4,40,83,0,0,0,0,0,1,0,0,1,0
0,0,0,0,1,0,0,0,1,4,24,101,0,0,0,1,0,0,0,0,1,0
0,0,0,0,0,0,1,1,1,3,26,91,1,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,1,0,5,28,179,0,0,0,1,0,0,0,0,1,0
0,1,0,1,0,0,0,0,0,3,48,111,0,0,0,1,0,0,0,0,1,0
0,0,0,1,0,0,1,0,1,4,38,85,0,0,0,0,0,1,1,0,0,0
0,0,0,1,0,0,0,0,0,3,51,134,0,0,1,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,5,46,60,1,0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,4,33,67,1,0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,1,0,0,5,44,187,0,1,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,5,45,163,0,0,0,0,1,0,0,0,1,0
0,0,0,0,1,0,0,0,1,2,28,165,1,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,1,0,5,25,101,0,0,0,0,0,1,0,0,1,0
0,1,0,0,0,0,0,1,0,4,69,84,0,1,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,4,59,190,1,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,5,51,164,0,0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,5,36,114,0,0,0,0,1,0,1,0,0,0
0,0,0,0,1,0,0,0,0,4,36,90,0,0,0,0,0,1,0,0,1,0
0,1,0,0,1,1,0,0,0,4,37,108,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,1,0,4,46,106,0,0,1,0,0,0,0,1,0,0
0,1,0,0,0,1,1,0,0,4,27,115,0,0,1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0,0,4,37,111,0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,1,1,0,1,5,27,101,0,0,0,0,1,0,1,0,0,0
1,0,0,0,0,1,1,0,0,4,47,60,0,0,0,1,0,0,0,0,0,1
1,0,0,0,0,0,1,0,0,3,42,60,0,0,1,0,0,0,0,0,1,0
1,0,1,0,0,0,1,0,0,3,22,151,0,0,0,0,1,0,0,1,0,0
1,0,0,0,0,0,1,1,0,4,16,115,0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,0,1,0,0,4,51,128,1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,1,0,0,5,28,114,1,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,1,1,0,3,33,151,0,0,0,0,1,0,1,0,0,0
1,0,0,0,0,0,1,0,0,3,26,103,1,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,4,22,102,0,0,0,0,1,0,0,0,0,1
1,0,1,0,0,0,1,0,0,4,21,192,0,0,0,1,0,0,0,0,1,0
0,0,0,0,0,1,1,0,0,3,24,166,0,0,0,0,1,0,1,0,0,0
0,0,1,0,0,1,0,0,0,3,30,183,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,2,29,196,0,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0,4,30,118,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0,5,49,91,0,0,0,0,1,0,0,1,0,0
0,0,1,0,1,0,1,0,0,3,37,111,1,0,0,0,0,0,1,0,0,0
0,0,0,1,0,0,0,1,0,4,26,162,0,0,0,0,0,1,0,0,0,1
1,0,0,0,1,0,1,0,0,4,40,143,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,1,0,0,4,40,136,0,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,1,0,0,3,26,95,0,0,1,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,0,3,24,186,0,0,0,0,1,0,0,0,0,1
0,0,1,0,1,0,1,0,0,3,26,145,0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0,3,48,74,0,0,0,0,1,0,0,0,1,0
0,1,0,0,0,0,1,0,0,4,38,136,0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,1,0,0,3,51,77,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,1,0,0,5,46,76,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,4,33,61,0,0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,1,1,0,4,37,85,0,0,1,0,0,0,0,0,1,0
0,0,1,0,0,0,1,0,0,2,23,135,0,1,0,0,0,0,0,1,0,0
0,0,1,0,1,0,1,0,0,4,20,104,0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,0,1,1,0,5,45,171,0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0,4,36,103,0,0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,1,1,0,2,28,85,0,0,0,0,0,1,0,0,1,0
